s1-data-collection/data-and-its-shapes	4209	20min
s1-data-collection/files-and-formats	5104	30min
s1-data-collection/databases	4479	25min
s1-data-collection/apis	4749	30min
s1-data-collection/web-scraping	4242	25min
s1-data-collection/collection-strategy-and-quality	4604	25min
s1-data-collection/lab-1	4053	45min
s2-data-preprocessing/the-preprocessing-contract	5403	20min
s2-data-preprocessing/missing-values	7187	35min
s2-data-preprocessing/duplicates-inconsistencies-outliers	6822	30min
s2-data-preprocessing/categorical-encoding	7237	35min
s2-data-preprocessing/scaling-and-normalization	5558	25min
s2-data-preprocessing/feature-engineering-and-selection	8821	40min
s2-data-preprocessing/lab-2	5362	45min
s3-tabular-models/the-tabular-landscape	7229	30min
s3-tabular-models/trees-and-ensembles	7634	40min
s3-tabular-models/gradient-boosting-in-practice	7135	30min
s3-tabular-models/model-selection-and-validation	7548	35min
s3-tabular-models/hyperparameter-optimization	6875	35min
s3-tabular-models/time-series-models	6451	25min
s3-tabular-models/lab-3	6923	45min
s4-advanced-neural-networks/essential-layers	6427	30min
s4-advanced-neural-networks/making-training-work	7444	40min
s4-advanced-neural-networks/optimization-and-schedules	6918	30min
s4-advanced-neural-networks/data-pipelines-and-training-loop	7275	30min
s4-advanced-neural-networks/monitoring-and-debugging	6414	25min
s4-advanced-neural-networks/performance-and-profiling	7273	30min
s4-advanced-neural-networks/lab-4	5873	45min
s5-computer-vision-1/images-as-tensors	7197	25min
s5-computer-vision-1/convolution	8757	40min
s5-computer-vision-1/pooling-and-architectures	8386	30min
s5-computer-vision-1/training-cnns	8167	30min
s5-computer-vision-1/transfer-learning	8484	35min
s5-computer-vision-1/lab-5	6186	45min
s6-computer-vision-2/object-detection	9982	40min
s6-computer-vision-2/segmentation	9141	35min
s6-computer-vision-2/autoencoders-and-vaes	7520	30min
s6-computer-vision-2/gans	7030	25min
s6-computer-vision-2/diffusion-models	8298	30min
s6-computer-vision-2/lab-6	6563	45min
s7-nlp-1/text-as-data-and-tokenization	8511	35min
s7-nlp-1/embeddings	8045	35min
s7-nlp-1/recurrent-models	5835	25min
s7-nlp-1/attention	8390	40min
s7-nlp-1/the-transformer	8951	40min
s7-nlp-1/lab-7	6794	45min
s8-nlp-2/training-and-scaling-llms	6605	35min
s8-nlp-2/generation-and-decoding	5946	25min
s8-nlp-2/instruction-tuning-and-peft	8708	35min
s8-nlp-2/evaluating-generation	6699	25min
s8-nlp-2/rag	7339	30min
s8-nlp-2/agents	7016	30min
s8-nlp-2/lab-8	6057	45min
s9-reinforcement-learning-1/learning-from-interaction	6521	30min
s9-reinforcement-learning-1/markov-decision-processes	7777	40min
s9-reinforcement-learning-1/dynamic-programming	7138	35min
s9-reinforcement-learning-1/model-free-prediction-and-control	8660	45min
s9-reinforcement-learning-1/gymnasium	6968	25min
s9-reinforcement-learning-1/lab-9	6466	45min
s10-reinforcement-learning-2/from-tables-to-networks	9494	40min
s10-reinforcement-learning-2/policy-gradients	7497	30min
s10-reinforcement-learning-2/actor-critic-and-ppo	8514	35min
s10-reinforcement-learning-2/making-deep-rl-work	9399	30min
s10-reinforcement-learning-2/multi-agent-rl	8486	35min
s10-reinforcement-learning-2/lab-10	6925	45min
mlp-project/project-brief	6599	20min
mlp-project/project-tracks	7792	25min
mlp-project/project-grading	6833	20min
mlp-reference/multi-gpu-scaling	8096	25min
mlp-reference/cnn-backpropagation	6723	25min
mlp-reference/three-d-cnns	5374	20min
mlp-reference/image-enhancement	5278	15min
mlp-reference/automl-and-custom-objectives	6664	20min
