date,weather_condition,humidity,wind_speed,oil_brent_price_indicator,temperature_station1,temperature_station2,temperature_station3,temperature_station4,temperature_station5,temperature_station6,temperature_station7,temperature_station8,temperature_station9,temperature_station10,electricity_demand
2015-01-08,Cloudy,69.30437700192385,27.74 km/h,Moderate,0.36941119981416226,,0.1599774772516237,0.11822384375122558,-0.4444551959071589,0.31367475638456555,0.10619201391164806,0.3694300701116513,1.2794696183536347,-0.38466134771304306,273.5113526145443
2015-01-09,Sunny,55.95597473353698,21.78 km/h,Moderate,2.0099031230434843,,1.6172424136666461,,2.160062528161373,2.5156272029322917,1.8674738886115798,1.9531646409107957,1.8782325495779493,1.5823648658979037,258.8270852517508
2015-01-10,Rainy,62.70161409792222,6.83 m/s,Moderate,-2.603543606299305,-2.422001273680034,-3.6858193175461897,-2.392354251586812,-1.9367041170442252,-2.950331757561115,-3.074827933492375,-2.6986501344033496,-2.3548603895815035,-2.770882548315817,302.53503334340843
2015-01-11,Snowy,60.37500130444584,5.79 m/s,Moderate,-3.7898357362764656,-3.9740539079379213,-3.217545141225269,-4.397143382751615,-3.3751876258169884,-3.6504540588113414,-5.004991221066968,-3.233723684647431,-4.227898851554244,,296.27098871708654
2015-01-12,Snowy,,25.14 km/h,High,-2.4055221549570676,-2.161129283635332,-2.8807730530883884,-2.587198903621896,,,,,-2.790422163499399,-2.0330976696348273,323.49808997062394
2015-01-13,Cloudy,58.64983378896177,28.75 km/h,High,-5.037718569362954,-4.891657760387523,-4.655656961900681,-5.54590629102141,,-5.323172822931538,-5.771091719658497,,-4.554718414097635,-4.719305841311201,303.62378864615084
2015-01-13,Cloudy,58.64983378896177,28.75 km/h,High,-5.037718569362954,-4.891657760387523,-4.655656961900681,-5.54590629102141,,-5.323172822931538,-5.771091719658497,,-4.554718414097635,-4.719305841311201,303.62378864615084
2015-01-14,Rainy,69.2350956421146,19.97 km/h,Moderate,-5.213824357478271,-5.509778414214468,,,,-5.366942746707704,-4.717191460548202,-5.678184738767495,-5.101359041398509,-4.618354266040064,321.2993891622147
2015-01-15,Cloudy,67.52343174639562,4.27 m/s,Moderate,-4.611890333705288,,-4.672052671028278,-5.932922749355167,-4.960254529127921,-4.769733517351134,-4.513605023831275,,-4.4714260789984195,-4.794511128954203,311.15608051988823
2015-01-16,Cloudy,67.9780623975365,23.63 km/h,Moderate,-4.172214718665311,-3.9524396156496566,,,-4.745740539377608,-4.61706821158847,-3.9879114062299887,-4.068369020205552,,-4.15887987242954,311.3501084700051
